GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
AccountSystemTranslator,za.ac.nwu.ac.translator.impl,AccountBalanceTranslatorImpl,33,31,0,0,7,9,1,3,1,3
AccountSystemTranslator,za.ac.nwu.ac.translator.impl,AccountTypeTranslatorImpl,92,11,2,0,22,4,5,2,4,2
AccountSystemTranslator,za.ac.nwu.ac.translator.impl,AccountTransactionTranslatorImpl,63,0,0,0,14,0,2,0,2,0
AccountSystemTranslator,za.ac.nwu.ac.translator.config,TranslatorConfig,3,0,0,0,1,0,1,0,1,0
